Ticker,FDX,FDX,FDX,FDX,FDX,JNJ,JNJ,JNJ,JNJ,JNJ,AAPL,AAPL,AAPL,AAPL,AAPL,HD,HD,HD,HD,HD,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,COP,COP,COP,COP,COP,MS,MS,MS,MS,MS
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,149.799759377653,152.76731620231246,149.43947684595906,149.83767700195312,2257200,161.60212240478128,162.27905392497738,159.81240890941118,159.91441345214844,6150000,136.90815350204326,136.95758184489978,133.04308937521566,133.3198699951172,74917800,271.0827039670404,274.36571249259276,268.51258645293086,268.9721984863281,3071400,88.02913095745633,89.01442577049444,86.8646999163299,86.90451049804688,31769100,122.04810164236397,122.14945574920704,115.07312824276677,115.41404724121094,7069500,78.32121909769465,78.74567350680776,76.76181219113744,77.00171661376953,5200800
2022-11-10,154.2558499736633,158.84464999194626,154.2558499736633,157.38458251953125,3783100,161.67632510736243,162.06579317808095,159.5342294939925,161.78759765625,7877500,139.61667909909517,145.1819610595703,137.89667216677097,145.1819610595703,118854000,279.28083179732596,295.2268729616895,278.66174676411265,292.3753662109375,7794000,91.81105799655386,93.94087488626228,91.1741038384967,93.4930191040039,51620100,118.03082129238237,119.56955076971047,115.69968374308726,119.28392028808594,7543900,79.99137300317068,82.10442309260125,79.83450373514988,81.9383316040039,10013900
2022-11-11,158.22840155215158,167.71887693207248,157.61214236564842,166.49583435058594,4436500,160.17402114708975,160.52640296635184,154.69363771104963,156.94699096679688,11074700,144.1440507641814,148.28588106740983,142.71070401695297,147.9794464111328,93979700,292.6566998263752,297.98454569667047,291.00580671845853,295.4144287109375,4945400,94.2394538485674,96.46879348169523,93.47311336671255,95.9512710571289,33090500,120.88713703441647,124.25024044290573,120.29744423168802,123.4301986694336,8662000,82.12287115685423,84.605014122104,82.12287115685423,83.76532745361328,9119100
2022-11-14,165.46240667792802,169.605598813838,165.46240667792802,165.68994140625,2999100,157.87434481560663,160.66553959190793,157.87434481560663,159.41368103027344,6581500,147.25783186642536,148.5527731206919,145.73552323030617,146.5757598876953,73374100,294.8704355030794,296.3900235127151,287.3476661832291,287.8917236328125,6394800,94.6375384345769,96.32945403822642,94.0603039654914,95.24463653564453,30179500,122.4405270749567,125.49274213620933,122.34802972208226,123.04171752929688,6163400,83.29474717633995,84.30052548865363,82.8518411803513,82.87029266357422,4873400
2022-11-15,167.44390125370202,170.19338480480965,164.63751956413637,167.112060546875,5216900,159.6732904759009,160.4244082738237,158.1246866142164,159.85874938964844,9351000,150.47047343692662,151.8247226304383,146.85253571913623,148.31552124023438,89868300,285.2090203295339,296.9997178999522,284.44924064127906,292.5910949707031,9290400,97.79245956917397,99.66351138474529,96.2498317707238,97.97160339355469,41640800,123.55966671393222,124.71581303945321,122.00581282672688,124.02212524414062,8300600,84.03292850723865,84.76188525125559,82.45506278532737,83.50697326660156,7336100
2022-11-16,164.96941799922317,166.50533553740712,160.75985122523514,161.9070587158203,2388400,161.01789144989374,162.2697639274142,160.5449690792971,160.85098266601562,5500900,147.4160140311921,148.14749936078283,145.59715017769167,147.0799102783203,64218300,286.89738362037895,296.7933255395677,285.63110335455184,295.3863220214844,5249500,97.43416966800666,99.16588820159294,97.1754046847515,98.37964630126953,29105200,122.62550498034082,123.47642697830298,119.39753937411949,119.53628540039062,7365600,83.4792918458083,83.4792918458083,82.17824060645063,82.8795166015625,4368600
2022-11-17,160.22888700409933,162.73187022241217,158.52230424914586,162.63705444335938,1641100,160.4244509746174,162.26980090916837,160.40590083342266,162.1492462158203,4464100,144.747029718181,149.73899160011717,144.47024904717685,148.98773193359375,80389400,292.65674878048253,294.2325859422427,287.16942901573617,292.1314697265625,3642100,96.50859755213386,98.80760365631383,96.32945372628268,97.89198303222656,26052600,118.01018196660146,121.50636784779725,117.49223059355268,121.33988952636719,5735800,81.83683199434144,82.23360572039286,80.74801156284195,82.07673645019531,4967300
2022-11-18,164.96937500272915,166.0502082602797,163.17746685292545,165.65200805664062,1845900,162.27904740469384,163.799833340102,161.92666551673986,163.39181518554688,6555700,150.55945907613687,150.9449761011956,148.24635692578445,149.55117797851562,74829600,294.66411383418745,296.4087847127958,291.02465961901606,293.76361083984375,3559300,98.30002039371558,98.42940667564423,95.91144636326615,96.96640014648438,28342300,118.76861842268606,119.49929678481804,117.00202322245605,118.93509674072266,5727200,83.29473078882803,83.38700930637923,81.74454602812533,82.30741119384766,5450700
2022-11-21,164.90304019233184,166.06921370844054,163.8980564208762,164.6280975341797,1385200,164.15711576117735,164.77309334909964,163.16782619078418,164.23178100585938,5706600,148.43416682216127,148.6417447784354,146.02220810744817,146.30886840820312,58724100,297.30924494577874,299.0726941105689,294.72037768043134,297.1404113769531,4069000,96.82707209430102,97.93179105937274,94.90625518678002,95.14511108398438,21647400,115.65163832134725,117.56621649055919,112.664152898461,116.0678482055664,6573200,82.17825015515328,82.75034472288532,81.72611487412713,82.19670867919922,4667100
2022-11-22,165.83218354365218,167.68097575141604,165.49086694630662,166.552734375,1457300,164.63307413499635,165.37038445156998,164.56775095304937,165.0250701904297,4707900,146.42747688170903,148.6911501950918,145.24125698087363,148.4539031982422,51804100,300.1608241023485,306.55800853616586,299.57926708574087,304.73828125,6054700,95.49343910333945,96.75740032804538,93.60248592750435,96.58821105957031,23438500,118.389394026016,120.74793555775115,116.96502078235356,120.2207260131836,5604200,82.66727649704632,83.22091945370155,82.39969131848895,82.74109649658203,3804100
